
2025/02/17 (21:32:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/17 (21:32:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/17 (21:32:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/17 (21:32:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/17 (21:32:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/17 (21:32:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (14:11:31) | ===> btop++ v.1.4.0
2025/02/18 (14:11:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (14:11:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/18 (14:11:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (14:11:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/18 (14:11:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/18 (14:11:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (14:25:09) | ===> btop++ v.1.4.0
2025/02/18 (14:25:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (14:25:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/18 (14:25:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (14:25:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/18 (14:25:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/18 (14:25:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (14:30:47) | ===> btop++ v.1.4.0
2025/02/18 (14:30:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (14:30:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/18 (14:30:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (14:30:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/18 (14:30:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/18 (14:30:47) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/18 (14:31:42) | WARNING: Failed to join _runner thread on exit!

2025/02/18 (14:32:37) | ===> btop++ v.1.4.0
2025/02/18 (14:32:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (14:32:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/18 (14:32:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (14:32:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/18 (14:32:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/18 (14:32:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (14:34:13) | ===> btop++ v.1.4.0
2025/02/18 (14:34:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (14:34:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/18 (14:34:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (14:34:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/18 (14:34:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/18 (14:34:13) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/18 (14:34:36) | WARNING: Failed to join _runner thread on exit!

2025/02/18 (14:47:52) | ===> btop++ v.1.4.0
2025/02/18 (14:47:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (14:47:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/18 (14:47:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (14:47:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/18 (14:47:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/18 (14:47:52) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/18 (14:48:30) | WARNING: Failed to join _runner thread on exit!

2025/02/18 (17:01:28) | ===> btop++ v.1.4.0
2025/02/18 (17:01:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (17:01:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/18 (17:01:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (17:01:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/18 (17:01:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/18 (17:01:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/19 (23:32:35) | ===> btop++ v.1.4.0
2025/02/19 (23:32:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (23:32:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/19 (23:32:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/19 (23:32:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/19 (23:32:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/19 (23:32:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/21 (21:06:43) | ===> btop++ v.1.4.0
